TransactionID,OrderDate,CustomerID,ProductID,Quantity,TotalAmount
1000,2/11/2023,6,212,4,426
1001,6/9/2024,22,226,8,184
1002,12/11/2022,31,231,5,880
1003,12/18/2022,23,227,10,928
1004,4/11/2024,42,215,7,517
1005,3/2/2024,8,226,3,367
1006,1/14/2024,10,240,4,101
1007,12/7/2023,42,223,10,455
1008,12/10/2022,23,247,3,589
1009,2/27/2024,6,236,8,642
1010,12/21/2023,29,210,1,184
1011,3/19/2024,17,208,6,568
1012,4/3/2023,28,250,1,132
1013,5/17/2023,39,215,8,238
1014,2/24/2024,14,205,8,455
1015,11/3/2023,2,225,10,114
1016,7/16/2024,29,210,9,158
1017,2/18/2024,25,235,3,459
1018,2/3/2023,28,212,1,665
1019,11/22/2022,38,206,3,324
1020,9/15/2023,30,248,5,651
1021,11/11/2024,27,238,9,310
1022,10/20/2024,3,214,1,573
1023,7/20/2023,35,234,4,933
1024,3/22/2024,34,250,3,943
1025,5/6/2024,19,215,7,377
1026,2/14/2023,47,249,2,958
1027,5/1/2023,10,205,8,385
1028,7/6/2024,30,245,10,856
1029,6/15/2024,39,218,5,252
1030,5/20/2023,21,201,8,859
1031,10/29/2023,25,235,2,290
1032,2/10/2024,25,218,1,609
1033,1/7/2023,48,203,8,805
1034,10/5/2024,47,201,1,624
1035,6/7/2023,19,209,10,513
1036,7/17/2024,4,238,1,190
1037,4/13/2023,41,234,1,267
1038,8/25/2023,16,230,1,592
1039,5/19/2024,31,216,6,637
1040,9/10/2023,6,214,1,640
1041,6/2/2024,48,217,5,904
1042,5/13/2024,40,228,6,145
1043,12/6/2023,24,247,10,888
1044,5/8/2024,8,246,3,1000
1045,9/23/2023,28,224,7,972
1046,8/9/2024,14,249,6,142
1047,5/21/2023,41,222,9,423
1048,3/10/2024,4,221,1,378
1049,11/12/2024,34,243,9,389
1050,10/4/2023,46,209,8,103
1051,3/13/2024,7,222,1,956
1052,9/15/2023,48,242,6,794
1053,7/4/2023,28,220,10,724
1054,1/12/2024,34,244,4,226
1055,7/20/2024,26,207,10,406
1056,7/19/2024,1,211,5,540
1057,9/2/2023,49,215,10,202
1058,1/26/2024,3,249,7,194
1059,12/1/2023,24,231,1,713
1060,3/13/2023,11,224,7,277
1061,5/10/2023,5,228,4,745
1062,1/1/2024,49,246,2,661
1063,1/10/2023,38,228,2,446
1064,11/9/2024,2,203,5,552
1065,10/3/2024,39,241,1,154
1066,4/14/2024,26,216,4,815
1067,6/16/2024,35,246,2,193
1068,7/30/2023,46,243,8,322
1069,10/2/2023,10,203,5,700
1070,3/19/2023,38,206,2,676
1071,3/8/2023,8,221,8,472
1072,1/3/2023,36,217,8,401
1073,6/22/2024,16,246,7,433
1074,3/23/2023,47,220,10,323
1075,2/2/2023,8,217,2,433
1076,7/15/2024,16,202,9,925
1077,7/13/2023,2,217,10,176
1078,5/15/2024,26,250,3,801
1079,11/6/2024,45,225,7,681
1080,1/14/2023,10,201,8,390
1081,11/14/2024,1,250,9,547
1082,7/13/2024,40,238,6,146
1083,5/8/2023,9,240,6,645
1084,5/14/2024,49,201,4,431
1085,1/25/2023,7,230,2,332
1086,4/4/2023,30,220,9,429
1087,10/20/2024,45,246,1,764
1088,7/2/2023,3,246,3,818
1089,1/19/2024,6,220,8,502
1090,12/1/2022,37,211,5,199
1091,5/15/2024,37,202,7,771
1092,6/26/2023,44,230,5,387
1093,11/19/2022,7,203,1,564
1094,2/9/2023,34,201,10,359
1095,10/3/2024,19,211,8,628
1096,3/20/2024,16,239,10,162
1097,4/11/2024,3,215,6,147
1098,10/6/2024,11,233,10,841
1099,3/16/2023,28,218,6,574
1100,8/3/2024,26,217,4,797
1101,11/21/2023,33,240,7,961
1102,8/24/2024,32,228,5,224
1103,2/2/2023,13,248,7,591
1104,3/5/2023,30,246,6,772
1105,4/18/2024,41,242,2,640
1106,9/5/2024,45,219,7,513
1107,2/7/2024,46,239,5,110
1108,7/7/2024,5,247,6,734
1109,8/4/2024,46,210,7,602
1110,9/21/2024,21,244,9,915
1111,6/21/2023,34,222,5,748
1112,5/6/2024,27,209,4,446
1113,5/8/2023,21,221,1,356
1114,6/1/2023,11,206,5,394
1115,8/12/2024,42,216,4,790
1116,5/4/2024,4,242,10,120
1117,1/24/2024,38,235,4,984
1118,1/28/2023,47,231,5,199
1119,1/10/2024,14,246,3,307
1120,6/24/2024,8,207,6,725
1121,10/6/2023,48,207,2,794
1122,9/25/2024,22,233,7,993
1123,7/28/2024,35,219,4,397
1124,11/21/2022,16,210,8,314
1125,9/28/2023,35,243,10,141
1126,9/8/2023,19,240,3,396
1127,7/1/2023,47,233,8,717
1128,11/4/2023,13,218,9,891
1129,10/26/2024,23,204,2,144
1130,6/17/2023,37,225,1,960
1131,8/4/2023,13,241,5,581
1132,3/3/2024,41,207,5,459
1133,5/25/2024,38,241,4,105
1134,8/27/2023,34,221,4,245
1135,10/16/2023,9,231,2,580
1136,6/10/2024,40,239,1,779
1137,7/26/2024,16,223,8,886
1138,1/12/2024,2,204,6,699
1139,12/7/2022,33,218,3,613
1140,12/30/2022,9,233,9,524
1141,9/29/2024,40,236,10,151
1142,3/13/2024,28,204,3,198
1143,1/27/2024,26,207,10,727
1144,1/2/2023,41,218,4,684
1145,4/10/2024,3,241,3,457
1146,4/25/2024,23,204,3,118
1147,7/15/2023,48,217,8,578
1148,8/23/2023,14,205,9,193
1149,12/7/2022,16,226,10,241
1150,10/9/2023,40,230,8,419
1151,12/24/2022,15,228,1,335
1152,12/6/2023,3,222,8,883
1153,1/27/2024,42,226,9,592
1154,9/15/2023,44,236,2,729
1155,4/7/2023,26,206,9,978
1156,6/18/2023,10,250,5,833
1157,12/24/2023,38,244,10,830
1158,7/22/2023,27,241,8,404
1159,9/11/2023,41,243,3,918
1160,2/8/2024,9,222,6,575
1161,9/23/2024,9,235,1,234
1162,4/9/2023,36,216,10,657
1163,4/10/2023,32,243,7,550
1164,5/17/2023,4,246,1,174
